ladder_step cycle_step iter_num loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0        18.664240543692785     18.66409346235829      0.00014708133449229326 0.0                    5.163621854910741      0.01278372813350773    5.163621854910741      0.01278372813350773    0.007460411851851852   0.007460411851851852   700    1760   0.0                    0.0                    0                      0                      0                      0                     
0           0          1        6.768468826580556      6.767917251140885      0.0005515754228534998  1.6817907186093065e-11 3.1094136450327015     0.024756041302040465   3.1094136450327015     0.024756041302040465   0.018575489020719243   0.018575489020719243   700    1760   1.681653348472114e-11  1.3737013719272286e-15 0                      0                      0                      0                     
0           0          2        6.053034790817117      6.05255657302774       0.0004782177719755999  1.7400841939904848e-11 2.940494752595153      0.023051097153343674   2.940494752595153      0.023051097153343674   0.017457093915295048   0.017457093915295048   700    1760   1.7399250639680936e-11 1.5913002239127108e-15 0                      0                      0                      0                     
0           0          3        4.709083605094198      4.707104153872757      0.0019794511695024756  5.193859296421569e-11  2.593151462127215      0.04689765653352078    2.593151462127215      0.04689765653352078    0.03180507456472869    0.03180507456472869    700    1760   5.193093322628281e-11  7.659737932880889e-15  0                      0                      0                      0                     
0           0          4        3.597140335836407      3.593728968048766      0.0034113674731220548  3.1451931853237184e-10 2.2658107877278613     0.06156629194184876    2.2658107877278613     0.06156629194184876    0.04018789978890505    0.04018789978890505    700    1760   3.142522357580188e-10  2.670827743530184e-13  0                      0                      0                      0                     
0           0          5        1.5372834446984904     1.5330053853017456     0.00427805889550027    5.012444901854034e-10  1.479867458013794      0.06894489664056418    1.479867458013794      0.06894489664056418    0.0439381332076613     0.0439381332076613     700    1760   5.00659269517634e-10   5.852206677693473e-13  0                      0                      0                      0                     
0           0          6        0.3397705878709155     0.3374484420119069     0.0023221452796677484  5.793409060957548e-10  0.6943120356685117     0.050795289366761705   0.6943120356685117     0.050795289366761705   0.03269699147322788    0.03269699147322788    700    1760   5.78628273060785e-10   7.126330349697033e-13  0                      0                      0                      0                     
0           0          7        0.28354315311158573    0.2641982006263759     0.019344951973060787   5.12149024472021e-10   0.6143500638030591     0.14660965548414148    0.6143500638030591     0.14660965548414148    0.08518953775259051    0.08518953775259051    700    1760   5.115176954815865e-10  6.313289904344584e-13  0                      0                      0                      0                     
0           0          8        0.20563877360648847    0.12116216978424978    0.08447660342810549    3.9413322606693396e-10 0.41603943800738374    0.30637051538601917    0.41603943800738374    0.30637051538601917    0.1717891077479807     0.1717891077479807     700    1760   3.9334711013068775e-10 7.861159362462003e-13  0                      0                      0                      0                     
0           0          9        0.1386246987919949     0.025935645943174265   0.11268905224413424    6.046864145339238e-10  0.19248616255711276    0.35385033283725775    0.19248616255711276    0.35385033283725775    0.19712648895243917    0.19712648895243917    700    1760   6.029033283331876e-10  1.7830862007361916e-12 0                      0                      0                      0                     
0           0          10       0.06562737401686444    0.057798680074837384   0.007828692767647513   1.1743795508456978e-09 0.2873491655878844     0.09326600409371225    0.2873491655878844     0.09326600409371225    0.05653792242828127    0.05653792242828127    700    1760   1.170312504235961e-09  4.0670466097367395e-12 0                      0                      0                      0                     
0           0          11       0.025596074216399277   0.025295930295403182   0.0003001425518015724  1.369194521662857e-09  0.19009745731899574    0.018261755781522473   0.19009745731899574    0.018261755781522473   0.014038001325523243   0.014038001325523243   700    1760   1.3640589816160958e-09 5.1355400467611785e-12 0                      0                      0                      0                     
0           0          12       0.013544809625155113   0.013405889965907303   0.00013891804905968858 1.6101881223269402e-09 0.13838811863692482    0.012423903889039807   0.13838811863692482    0.012423903889039807   0.008052986679449141   0.008052986679449141   700    1760   1.6042861763690808e-09 5.901945957859369e-12  0                      0                      0                      0                     
0           0          13       0.0013856549238136732  0.00019341898285078518 0.0011922339547448806  1.986218007577687e-09  0.01662266021562069    0.03639648876143108    0.01662266021562069    0.03639648876143108    0.024792444190280444   0.024792444190280444   700    1760   1.9792063191201106e-09 7.011688457576544e-12  0                      0                      0                      0                     
0           0          14       0.00016074716189129346 1.6300649811196807e-06 0.00015911507462198238 2.022288191388353e-09  0.0015259961529251642  0.01329641031849417    0.0015259961529251642  0.01329641031849417    0.010184934784658395   0.010184934784658395   700    1760   2.0151362407575042e-09 7.151950630848717e-12  0                      0                      0                      0                     
0           0          15       0.00013642930464582918 2.022411643952693e-05  0.00011620319194598436 1.996260317877246e-09  0.005375090223764612   0.011362863095090095   0.005375090223764612   0.011362863095090095   0.008285364377882945   0.008285364377882945   700    1760   1.9891227987863667e-09 7.1375190908795946e-12 0                      0                      0                      0                     
0           0          16       9.209525057168488e-05  8.197140725843103e-06  8.389612601735307e-05  1.9838284886910225e-09 0.003422017100617517   0.009654942661510683   0.003422017100617517   0.009654942661510683   0.0064590581310530705  0.0064590581310530705  700    1760   1.9766294446843007e-09 7.1990440067216655e-12 0                      0                      0                      0                     
0           0          17       6.241702459607422e-05  2.9322348540538944e-05 3.30925584092385e-05   2.117646296765692e-09  0.006472176553805301   0.006063786716532694   0.006472176553805301   0.006063786716532694   0.004040624280087068   0.004040624280087068   700    1760   2.1103132410975135e-09 7.333055668178507e-12  0                      0                      0                      0                     
0           0          18       1.9117361820180208e-05 9.893448636488673e-06  9.221709027133831e-06  2.2041565577058604e-09 0.0037594544886361742  0.0032009909970948116  0.0037594544886361742  0.0032009909970948116  0.0023885045914897964  0.0023885045914897964  700    1760   2.196776489604219e-09  7.380068101641475e-12  0                      0                      0                      0                     
